store_name,aliases,address,phone,days,open,close,notes,source_url
百福店,基隆百福店;屈臣氏百福店;百福;百福店門市;百福店,基隆市七堵區百三街83號,,每日,,,由 Watsons 官方 Open Chat 門市頁匯入；營業時間需用 Google Sheet、官方門市詳細頁或人工確認後填入。,https://www.watsons.com.tw/openchat
七堵店,基隆七堵店;屈臣氏七堵店;七堵;七堵店門市;七堵店,基隆市七堵區明德一路188號,,每日,,,由 Watsons 官方 Open Chat 門市頁匯入；營業時間需用 Google Sheet、官方門市詳細頁或人工確認後填入。,https://www.watsons.com.tw/openchat
仁三店,基隆仁三店;屈臣氏仁三店;仁三;仁三店門市;仁三店,基隆市仁愛區仁三路68號,,每日,,,由 Watsons 官方 Open Chat 門市頁匯入；營業時間需用 Google Sheet、官方門市詳細頁或人工確認後填入。,https://www.watsons.com.tw/openchat
安樂店,基隆安樂店;屈臣氏安樂店;安樂;安樂店門市;安樂店,基隆市安樂區安樂路二段159號,,每日,,,由 Watsons 官方 Open Chat 門市頁匯入；營業時間需用 Google Sheet、官方門市詳細頁或人工確認後填入。,https://www.watsons.com.tw/openchat
大武崙店,基隆大武崙店;屈臣氏大武崙店;大武崙;大武崙店門市;大武崙店,基隆市安樂區基金一路172-1號,,每日,,,由 Watsons 官方 Open Chat 門市頁匯入；營業時間需用 Google Sheet、官方門市詳細頁或人工確認後填入。,https://www.watsons.com.tw/openchat
安一店,基隆安一店;屈臣氏安一店;安一;安一店門市;安一店,基隆市安樂區安一路115號,,每日,,,由 Watsons 官方 Open Chat 門市頁匯入；營業時間需用 Google Sheet、官方門市詳細頁或人工確認後填入。,https://www.watsons.com.tw/openchat
樂利店,基隆樂利店;屈臣氏樂利店;樂利;樂利店門市;樂利店,基隆市安樂區樂利三街100號,,每日,,,由 Watsons 官方 Open Chat 門市頁匯入；營業時間需用 Google Sheet、官方門市詳細頁或人工確認後填入。,https://www.watsons.com.tw/openchat
深溪店,基隆深溪店;屈臣氏深溪店;深溪;深溪店門市;深溪店,基隆市信義區深溪路192號,,每日,,,由 Watsons 官方 Open Chat 門市頁匯入；營業時間需用 Google Sheet、官方門市詳細頁或人工確認後填入。,https://www.watsons.com.tw/openchat
暖暖店,基隆暖暖店;屈臣氏暖暖店;暖暖;暖暖店門市;暖暖店,基隆市暖暖區暖暖街181號,,每日,,,由 Watsons 官方 Open Chat 門市頁匯入；營業時間需用 Google Sheet、官方門市詳細頁或人工確認後填入。,https://www.watsons.com.tw/openchat
基隆店,基隆基隆店;屈臣氏基隆店;基隆;基隆店門市;基隆店,基隆市仁愛區忠一路8號,,每日,,,由 Watsons 官方 Open Chat 門市頁匯入；營業時間需用 Google Sheet、官方門市詳細頁或人工確認後填入。,https://www.watsons.com.tw/openchat
廟口店,基隆廟口店;屈臣氏廟口店;廟口;廟口店門市;廟口店,基隆市仁愛區愛四路76號,,每日,,,由 Watsons 官方 Open Chat 門市頁匯入；營業時間需用 Google Sheet、官方門市詳細頁或人工確認後填入。,https://www.watsons.com.tw/openchat
文林店,台北文林店;屈臣氏文林店;文林;文林店門市;文林店,台北市士林區文林路130號,,每日,,,由 Watsons 官方 Open Chat 門市頁匯入；營業時間需用 Google Sheet、官方門市詳細頁或人工確認後填入。,https://www.watsons.com.tw/openchat
天東店,台北天東店;屈臣氏天東店;天東;天東店門市;天東店,台北市士林區天母東路32號,,每日,,,由 Watsons 官方 Open Chat 門市頁匯入；營業時間需用 Google Sheet、官方門市詳細頁或人工確認後填入。,https://www.watsons.com.tw/openchat
德行店,台北德行店;屈臣氏德行店;德行;德行店門市;德行店,台北市士林區德行東路224號,,每日,,,由 Watsons 官方 Open Chat 門市頁匯入；營業時間需用 Google Sheet、官方門市詳細頁或人工確認後填入。,https://www.watsons.com.tw/openchat
士東店,台北士東店;屈臣氏士東店;士東;士東店門市;士東店,台北市士林區士東路134號,,每日,,,由 Watsons 官方 Open Chat 門市頁匯入；營業時間需用 Google Sheet、官方門市詳細頁或人工確認後填入。,https://www.watsons.com.tw/openchat
天北店,台北天北店;屈臣氏天北店;天北;天北店門市;天北店,台北市士林區天母北路6號,,每日,,,由 Watsons 官方 Open Chat 門市頁匯入；營業時間需用 Google Sheet、官方門市詳細頁或人工確認後填入。,https://www.watsons.com.tw/openchat
德行西店,台北德行西店;屈臣氏德行西店;德行西;德行西店門市;德行西店,台北市士林區德行西路78號,,每日,,,由 Watsons 官方 Open Chat 門市頁匯入；營業時間需用 Google Sheet、官方門市詳細頁或人工確認後填入。,https://www.watsons.com.tw/openchat
劍潭二店,台北劍潭二店;屈臣氏劍潭二店;劍潭二;劍潭二店門市;劍潭二店,台北市士林區劍潭路15號,,每日,,,由 Watsons 官方 Open Chat 門市頁匯入；營業時間需用 Google Sheet、官方門市詳細頁或人工確認後填入。,https://www.watsons.com.tw/openchat
